iter	RMSE
0	2.551982942
1	2.432174609
2	2.303439345
3	2.186658781
4	2.079574174
5	1.987495972
6	1.889400903
7	1.811878197
8	1.728370187
9	1.648187323
10	1.579298281
11	1.5084053
12	1.447716716
13	1.388533271
14	1.335717702
15	1.288836441
16	1.239100419
17	1.19828269
18	1.161242074
19	1.126833648
20	1.093542059
21	1.065892037
22	1.036776873
23	1.013579578
24	0.9921884939
25	0.9714262053
26	0.9509992064
27	0.9354568545
28	0.9173153401
29	0.9033819031
30	0.8897987505
31	0.8765895434
32	0.8651117912
33	0.8548502256
34	0.8442324791
35	0.8330706433
36	0.8213248118
37	0.8119351443
38	0.8037278759
39	0.7950066378
40	0.7877086054
41	0.7821844419
42	0.7747800973
43	0.769809051
44	0.7626955296
45	0.7567924761
46	0.7510851071
47	0.7469067231
48	0.7410212504
49	0.7375425401
50	0.7346908752
51	0.7305483989
52	0.7259303495
53	0.7223626066
54	0.7199739641
55	0.7165305532
56	0.7126205025
57	0.7098565698
58	0.7070301268
59	0.7039208448
60	0.7019743078
61	0.6994932984
62	0.6975408764
63	0.6952008829
64	0.6927980961
65	0.6902465056
66	0.6879179814
67	0.6854529876
68	0.6836476321
69	0.6819354257
70	0.6801812417
71	0.6779756595
72	0.6760442579
73	0.6746212067
74	0.6722691155
75	0.6701738776
76	0.6689417411
77	0.6672366801
78	0.6650564837
79	0.6631632688
80	0.6615303679
81	0.6604106821
82	0.6591807828
83	0.6572681381
84	0.6546626372
85	0.6536327927
86	0.6524834717
87	0.6513718436
88	0.6499434916
89	0.6488793281
90	0.6472141881
91	0.6452763174
92	0.6446098606
93	0.6426399888
94	0.6414588695
95	0.6406555781
96	0.6394832263
97	0.6380576975
98	0.636273073
99	0.6344346922
100	0.6332437511
101	0.6320840435
102	0.6312943854
103	0.6299980216
104	0.6287352511
105	0.6266433298
106	0.6255835595
107	0.6248277129
108	0.623943117
109	0.6229375312
110	0.6222809686
111	0.6213660154
112	0.6202663951
113	0.6196132324
114	0.6187380061
115	0.6173070434
116	0.6161018739
117	0.614967927
118	0.6140176673
119	0.6130805455
120	0.6125366167
121	0.6121017225
122	0.6111105096
123	0.6097638103
124	0.6089441651
125	0.6082776578
126	0.6074933735
127	0.6066298402
128	0.6056940725
129	0.6046423647
130	0.603835241
131	0.6022684195
132	0.6017815852
133	0.600961431
134	0.6000282311
135	0.5995285076
136	0.5985199948
137	0.5975352828
138	0.5963457093
139	0.5954668429
140	0.5947204535
141	0.5938993046
142	0.5932995135
143	0.5926315492
144	0.5918416011
145	0.5909809409
146	0.5901709585
147	0.5896246726
148	0.5888723898
149	0.588215431
150	0.5874333839
151	0.5869543246
152	0.5863894166
153	0.5855017719
154	0.584851534
155	0.5843130853
156	0.5836291797
157	0.5830166561
158	0.5823527537
159	0.5813419864
160	0.5810118414
161	0.5802370471
162	0.5795244031
163	0.5784279491
164	0.5778950601
165	0.5773271225
166	0.5764685219
167	0.5755208244
168	0.5748166097
169	0.5739820788
170	0.5735069535
171	0.572553678
172	0.572204392
173	0.571585265
174	0.5707286908
175	0.5702199791
176	0.5698000551
177	0.5692517249
178	0.5685982845
179	0.5682484806
180	0.5673923076
181	0.5665720187
182	0.5662594768
183	0.5655032225
184	0.5650393406
185	0.5645920033
186	0.5638948021
187	0.5634501447
188	0.562969986
189	0.562580073
190	0.5620289153
191	0.5616563716
192	0.5612715829
193	0.5606449967
194	0.5602347936
195	0.5594573535
196	0.5591656619
197	0.5588680448
198	0.5585054131
199	0.5582013463
200	0.5577763276
201	0.5572310696
202	0.5567196078
203	0.5563360984
204	0.5560813965
205	0.5555924244
206	0.5549764233
207	0.554415789
208	0.5537532256
209	0.553318482
210	0.5530558062
211	0.5528833862
212	0.5523572572
213	0.551927085
214	0.5516218614
215	0.5510609472
216	0.5507699931
217	0.5502978691
218	0.5501426835
219	0.5496281306
220	0.5489771667
221	0.5485023055
222	0.5481734002
223	0.5476379718
224	0.5473223401
225	0.5471107772
226	0.5468514856
227	0.5465204738
228	0.5462022678
229	0.5459073137
230	0.5455948425
231	0.5451661179
232	0.5446324877
233	0.5443722626
234	0.5440585246
235	0.5436890545
236	0.5431045572
237	0.542754591
238	0.5424774486
239	0.5420711824
240	0.5414368479
241	0.5410513133
242	0.5408085951
243	0.5405383374
244	0.5403336879
245	0.5398180916
246	0.5395553973
247	0.539233274
248	0.5388920709
249	0.5386464314
250	0.5384383102
251	0.5381463175
252	0.5377048799
253	0.5374774199
254	0.5369928788
255	0.5367587352
256	0.5362362984
257	0.5360760269
258	0.5353520356
259	0.5349731997
260	0.5344857208
261	0.5340733775
262	0.533809399
263	0.5334649966
264	0.5331065378
265	0.5328017062
266	0.5324079521
267	0.5322195387
268	0.5318867753
269	0.5316088764
270	0.5313770451
271	0.5308771298
272	0.5305792869
273	0.5301072913
274	0.5297749916
275	0.5296473041
276	0.5294011774
277	0.5290185403
278	0.5285616559
279	0.5281279724
280	0.5279453918
281	0.5275155705
282	0.5272802457
283	0.5271705247
284	0.5269086728
285	0.5268150043
286	0.5266132355
287	0.5262808752
288	0.52607393
289	0.525796973
290	0.5256332363
291	0.5252884227
292	0.5249281267
293	0.5246946577
294	0.5245422832
295	0.5240644123
296	0.5237826503
297	0.5236679952
298	0.5233900454
299	0.5232337483
300	0.523122604
301	0.5227240703
302	0.5225024275
303	0.5221212232
304	0.5218215012
305	0.5217333938
306	0.5214184223
307	0.5212670602
308	0.521013713
309	0.520890622
310	0.5202694926
311	0.5201737999
312	0.5197442059
313	0.5193173987
314	0.5189244618
315	0.5187708317
316	0.5185272434
317	0.5183818782
318	0.5180064687
319	0.5177396744
320	0.5175904337
321	0.5171441447
322	0.5167428323
323	0.516512495
324	0.5163222794
325	0.5161998713
326	0.5159550362
327	0.5156759343
328	0.5153509693
329	0.5151372883
330	0.5149384367
331	0.5145316578
332	0.5141529766
333	0.5139107254
334	0.5136996379
335	0.5134565729
336	0.5132731344
337	0.5129945192
338	0.5128364888
339	0.5126965681
340	0.5122491139
341	0.5120564319
342	0.5116621967
343	0.5114246482
344	0.5110135267
345	0.5107377563
346	0.5106580947
347	0.5103634695
348	0.5099636011
349	0.5096309565
350	0.5092654082
351	0.508968939
352	0.5088539496
353	0.5085441786
354	0.5084757694
355	0.5081346765
356	0.5080323656
357	0.5078153138
358	0.5074868487
359	0.5073455293
360	0.5070570427
361	0.5068462396
362	0.5065133194
363	0.5063334529
364	0.5060368851
365	0.5057884733
366	0.5054819668
367	0.5051916635
368	0.5048743299
369	0.5047433009
370	0.504634855
371	0.5042935182
372	0.5041216903
373	0.5039071022
374	0.5035985562
375	0.5031981546
376	0.5029641983
377	0.50273314
378	0.5026275652
379	0.5023198086
380	0.5020681054
381	0.5018157358
382	0.5016371285
383	0.5014678386
384	0.5012734417
385	0.5010789337
386	0.5009327245
387	0.5008687121
388	0.5005937767
389	0.5004637236
390	0.500241738
391	0.5001100418
392	0.4998935034
393	0.4997329088
394	0.4993725249
395	0.4992171455
396	0.4987578378
397	0.4985734759
398	0.498211794
399	0.4979241383
400	0.4975953903
401	0.4973320156
402	0.4971609468
403	0.4969289383
404	0.4967027657
405	0.4964344149
406	0.4962120414
407	0.4959913257
408	0.495784077
409	0.4956029127
410	0.4951253775
411	0.4947884582
412	0.4946686935
413	0.4943739603
414	0.4942241314
415	0.4940855008
416	0.493926702
417	0.4938137348
418	0.4935630189
419	0.4933036374
420	0.4930081873
421	0.4927902648
422	0.4924654686
423	0.4921745442
424	0.4919325192
425	0.4916252515
426	0.4913466924
427	0.4911229883
428	0.490921441
429	0.4908466109
430	0.4905287174
431	0.4900917316
432	0.4899009834
433	0.4897823331
434	0.4896332516
435	0.4894028607
436	0.4891528661
437	0.4890099048
438	0.4888787189
439	0.4887855792
440	0.4886436117
441	0.488524082
442	0.4882028172
443	0.4879433575
444	0.48777962
445	0.4875999224
446	0.4873044427
447	0.4871300048
448	0.4870397395
449	0.4866382612
450	0.4865054026
451	0.4863434232
452	0.4861231721
453	0.4859063756
454	0.4856610703
455	0.4852763425
456	0.4850286056
457	0.4847978832
458	0.4845585865
459	0.4844027907
460	0.4841706094
461	0.4839967576
462	0.4838730881
463	0.4835833699
464	0.4832818058
465	0.4830507905
466	0.4828144043
467	0.4826717018
468	0.4825093475
469	0.4823593853
470	0.4821242402
471	0.4819970284
472	0.481746553
473	0.4815996842
474	0.4814506732
475	0.4812034122
476	0.4808752904
477	0.4805947871
478	0.4805281648
479	0.4803671838
480	0.4800547872
481	0.4799806242
482	0.4798566694
483	0.4796475707
484	0.4794931749
485	0.4793395202
486	0.4792574778
487	0.4791103231
488	0.4788852942
489	0.4786486819
490	0.4784466658
491	0.4782740372
492	0.4778749779
493	0.4777239077
494	0.4776462734
495	0.4774563293
496	0.4773036356
497	0.4770574745
498	0.4769037736
499	0.4768251366
500	0.476525481
501	0.4762380855
502	0.4758697279
503	0.4757670373
504	0.4756423255
505	0.4754853675
506	0.4754303972
507	0.4753463773
508	0.4751188079
509	0.4749381862
510	0.4747763127
511	0.4746431647
512	0.4743978641
513	0.4741097374
514	0.4738414183
515	0.4736551431
516	0.473566696
517	0.4734157847
518	0.4733143328
519	0.4731081089
520	0.4729940972
521	0.4728799346
522	0.4726704337
523	0.4724710063
524	0.472289818
525	0.4721324141
526	0.4720257961
527	0.4716476367
528	0.4713901875
529	0.4712741542
530	0.4709655291
531	0.4707402744
532	0.4705916512
533	0.4704704897
534	0.4701801191
535	0.4699319832
536	0.4697570981
537	0.4695698622
538	0.4693440519
539	0.4692306764
540	0.4690634264
541	0.4689571049
542	0.4688161303
543	0.4687282253
544	0.4684647535
545	0.4682721944
546	0.4681957685
547	0.4680585379
548	0.4679013155
549	0.467580113
550	0.4673374253
551	0.4672255749
552	0.4670825222
553	0.4668538564
554	0.4667137364
555	0.4665428031
556	0.4664603585
557	0.4662974471
558	0.4662169917
559	0.4658764415
560	0.4658345874
561	0.4656811303
562	0.4654901354
563	0.465262147
564	0.4651717351
565	0.4649154113
566	0.4644971158
567	0.4643341465
568	0.4640984832
569	0.463964625
570	0.4637855852
571	0.4637384746
572	0.4633732137
573	0.4631992387
574	0.4629486774
