iter	Passed	Remaining
0	142	141934
1	153	76589
2	164	54636
3	174	43396
4	184	36622
5	194	32153
6	204	28951
7	214	26581
8	223	24654
9	233	23079
10	243	21923
11	253	20856
12	262	19941
13	272	19177
14	282	18531
15	291	17930
16	301	17445
17	311	16995
18	321	16578
19	330	16194
20	339	15837
21	349	15525
22	358	15239
23	368	14972
24	377	14735
25	387	14505
26	396	14303
27	406	14094
28	415	13914
29	425	13769
30	435	13608
31	444	13458
32	455	13344
33	465	13216
34	474	13075
35	483	12958
36	493	12856
37	503	12741
38	512	12633
39	522	12542
40	532	12447
41	541	12355
42	551	12269
43	560	12177
44	569	12096
45	579	12019
46	589	11948
47	598	11877
48	608	11807
49	617	11738
50	626	11665
51	636	11606
52	646	11553
53	656	11499
54	665	11438
55	675	11386
56	685	11333
57	694	11277
58	703	11223
59	713	11172
60	722	11126
61	731	11072
62	741	11024
63	750	10976
64	760	10934
65	769	10891
66	778	10847
67	789	10817
68	798	10774
69	807	10732
70	817	10696
71	827	10667
72	837	10634
73	846	10596
74	856	10565
75	865	10527
76	875	10496
77	885	10467
78	895	10437
79	905	10408
80	914	10378
81	924	10351
82	934	10323
83	944	10297
84	953	10266
85	963	10235
86	972	10204
87	982	10178
88	991	10150
89	1001	10126
90	1011	10105
91	1021	10079
92	1031	10056
93	1041	10034
94	1050	10004
95	1060	9987
96	1069	9960
97	1079	9932
98	1089	9913
99	1099	9892
100	1108	9868
101	1118	9843
102	1127	9820
103	1137	9799
104	1146	9774
105	1156	9752
106	1166	9737
107	1176	9712
108	1185	9693
109	1195	9673
110	1204	9650
111	1214	9632
112	1224	9612
113	1234	9595
114	1244	9580
115	1254	9559
116	1263	9538
117	1273	9518
118	1283	9502
119	1293	9484
120	1302	9464
121	1312	9446
122	1322	9426
123	1332	9411
124	1341	9393
125	1351	9373
126	1361	9356
127	1370	9337
128	1380	9321
129	1390	9302
130	1399	9286
131	1409	9268
132	1418	9249
133	1428	9233
134	1438	9218
135	1447	9198
136	1457	9182
137	1466	9162
138	1476	9147
139	1486	9130
140	1495	9110
141	1505	9096
142	1514	9077
143	1524	9063
144	1534	9047
145	1543	9030
146	1553	9015
147	1563	8998
148	1572	8982
149	1582	8966
150	1591	8949
151	1601	8935
152	1610	8918
153	1620	8903
154	1630	8887
155	1639	8871
156	1650	8862
157	1659	8845
158	1670	8833
159	1679	8819
160	1689	8804
161	1699	8788
162	1708	8774
163	1718	8760
164	1728	8745
165	1737	8729
166	1746	8713
167	1756	8700
168	1766	8686
169	1777	8679
170	1787	8665
171	1796	8650
172	1805	8632
173	1815	8616
174	1825	8603
175	1834	8587
176	1843	8572
177	1853	8560
178	1863	8545
179	1872	8528
180	1882	8516
181	1891	8503
182	1901	8487
183	1910	8474
184	1920	8460
185	1929	8446
186	1939	8432
187	1949	8418
188	1958	8403
189	1967	8388
190	1977	8377
191	1987	8362
192	1996	8348
193	2006	8335
194	2015	8322
195	2025	8309
196	2034	8293
197	2043	8278
198	2052	8263
199	2063	8254
200	2072	8240
201	2082	8226
202	2091	8213
203	2101	8198
204	2110	8184
205	2119	8169
206	2129	8158
207	2139	8146
208	2149	8135
209	2159	8122
210	2167	8106
211	2177	8092
212	2187	8081
213	2197	8070
214	2207	8058
215	2216	8044
216	2225	8030
217	2234	8017
218	2244	8003
219	2253	7991
220	2264	7980
221	2274	7969
222	2283	7956
223	2293	7944
224	2302	7931
225	2311	7917
226	2320	7902
227	2329	7888
228	2338	7874
229	2348	7861
230	2357	7848
231	2366	7835
232	2376	7824
233	2386	7811
234	2395	7798
235	2404	7785
236	2414	7773
237	2424	7761
238	2433	7749
239	2443	7736
240	2453	7726
241	2462	7713
242	2472	7701
243	2481	7688
244	2490	7675
245	2500	7663
246	2509	7649
247	2518	7638
248	2528	7626
249	2538	7614
250	2547	7601
251	2556	7589
252	2566	7577
253	2575	7565
254	2585	7552
255	2594	7539
256	2604	7528
257	2613	7516
258	2623	7505
259	2632	7493
260	2642	7482
261	2652	7470
262	2661	7458
263	2671	7448
264	2681	7436
265	2690	7423
266	2700	7413
267	2709	7401
268	2719	7390
269	2729	7379
270	2738	7367
271	2748	7356
272	2757	7343
273	2767	7332
274	2777	7321
275	2786	7308
276	2795	7297
277	2805	7286
278	2815	7276
279	2825	7265
280	2834	7253
281	2845	7243
282	2854	7231
283	2863	7220
284	2873	7208
285	2882	7195
286	2891	7183
287	2900	7171
288	2910	7159
289	2919	7147
290	2928	7135
291	2938	7125
292	2948	7114
293	2957	7102
294	2966	7089
295	2976	7078
296	2985	7067
297	2994	7054
298	3004	7044
299	3013	7031
300	3022	7020
301	3032	7008
302	3046	7007
303	3063	7014
304	3074	7006
305	3084	6994
306	3093	6983
307	3102	6970
308	3112	6959
309	3121	6947
310	3131	6936
311	3140	6924
312	3150	6914
313	3159	6903
314	3169	6891
315	3177	6878
316	3187	6867
317	3196	6855
318	3206	6844
319	3215	6833
320	3225	6822
321	3234	6810
322	3244	6800
323	3253	6788
324	3262	6775
325	3271	6764
326	3280	6752
327	3290	6741
328	3300	6730
329	3309	6719
330	3319	6708
331	3329	6698
332	3339	6688
333	3348	6676
334	3358	6666
335	3367	6655
336	3376	6643
337	3386	6632
338	3395	6620
339	3403	6607
340	3413	6597
341	3422	6585
342	3432	6575
343	3442	6565
344	3452	6554
345	3460	6541
346	3469	6529
347	3479	6519
348	3489	6508
349	3499	6498
350	3509	6488
351	3518	6476
352	3527	6465
353	3536	6454
354	3546	6443
355	3555	6432
356	3565	6421
357	3574	6410
358	3584	6399
359	3593	6389
360	3603	6378
361	3613	6368
362	3623	6358
363	3632	6347
364	3642	6336
365	3651	6325
366	3661	6314
367	3670	6303
368	3679	6292
369	3689	6281
370	3698	6270
371	3707	6259
372	3717	6248
373	3726	6237
374	3735	6226
375	3745	6215
376	3754	6205
377	3764	6193
378	3773	6182
379	3782	6171
380	3791	6160
381	3801	6150
382	3811	6140
383	3820	6129
384	3830	6118
385	3839	6107
386	3848	6096
387	3857	6085
388	3866	6073
389	3876	6062
390	3885	6051
391	3894	6040
392	3904	6030
393	3913	6019
394	3923	6009
395	3932	5998
396	3942	5988
397	3952	5978
398	3961	5967
399	3971	5957
400	3981	5947
401	3991	5937
402	4000	5927
403	4010	5916
404	4019	5905
405	4029	5895
406	4040	5887
407	4050	5877
408	4060	5866
409	4070	5856
410	4079	5846
411	4089	5836
412	4099	5826
413	4108	5815
414	4118	5806
415	4127	5794
416	4137	5784
417	4146	5773
418	4156	5763
419	4166	5753
420	4176	5743
421	4185	5732
422	4195	5722
423	4205	5713
424	4215	5703
425	4225	5693
426	4235	5683
427	4245	5673
428	4254	5663
429	4264	5652
430	4274	5642
431	4283	5632
432	4293	5622
433	4302	5611
434	4312	5601
435	4323	5592
436	4333	5583
437	4349	5581
438	4363	5575
439	4373	5566
440	4383	5557
441	4393	5546
442	4403	5536
443	4413	5526
444	4423	5516
445	4433	5506
446	4443	5496
447	4452	5486
448	4462	5475
449	4471	5465
450	4480	5454
451	4489	5443
452	4498	5432
453	4508	5421
454	4517	5411
455	4528	5402
456	4537	5391
457	4546	5380
458	4556	5370
459	4565	5359
460	4575	5350
461	4584	5338
462	4593	5327
463	4603	5317
464	4612	5306
465	4621	5296
466	4632	5286
467	4641	5275
468	4650	5265
469	4660	5255
470	4669	5244
471	4677	5232
472	4686	5221
473	4695	5210
474	4705	5200
475	4714	5189
476	4723	5179
477	4733	5169
478	4742	5158
479	4751	5147
480	4761	5137
481	4769	5125
482	4778	5115
483	4788	5105
484	4797	5094
485	4806	5083
486	4815	5072
487	4824	5061
488	4833	5051
489	4843	5040
490	4852	5030
491	4861	5019
492	4870	5009
493	4879	4998
494	4888	4987
495	4897	4976
496	4906	4965
497	4915	4955
498	4925	4944
499	4933	4933
500	4943	4924
501	4953	4914
502	4963	4903
503	4972	4893
504	4981	4882
505	4990	4871
506	4999	4861
507	5007	4850
508	5017	4840
509	5026	4829
510	5035	4819
511	5044	4808
512	5053	4797
513	5063	4787
514	5072	4777
515	5081	4766
516	5091	4756
517	5100	4745
518	5109	4735
519	5118	4724
520	5126	4713
521	5135	4702
522	5145	4692
523	5154	4682
524	5163	4671
525	5172	4661
526	5181	4650
527	5191	4640
528	5200	4630
529	5209	4619
530	5218	4609
531	5228	4599
532	5237	4589
533	5246	4578
534	5255	4568
535	5265	4558
536	5276	4549
537	5286	4539
538	5295	4529
539	5304	4518
540	5313	4508
541	5322	4498
542	5332	4487
543	5341	4477
544	5351	4467
545	5360	4457
546	5369	4447
547	5378	4436
548	5388	4426
549	5397	4416
550	5406	4405
551	5415	4395
552	5424	4384
553	5434	4374
554	5443	4364
555	5452	4354
556	5461	4343
557	5470	4333
558	5479	4323
559	5489	4313
560	5497	4302
561	5506	4291
562	5516	4281
563	5525	4271
564	5535	4261
565	5544	4251
566	5554	4241
567	5564	4231
568	5573	4221
569	5582	4211
570	5592	4201
571	5601	4191
572	5611	4181
573	5621	4171
574	5630	4161
575	5640	4151
576	5649	4141
577	5659	4131
578	5668	4121
579	5678	4111
580	5687	4101
581	5696	4091
582	5705	4081
583	5715	4070
584	5724	4061
585	5733	4050
586	5743	4040
587	5752	4030
588	5762	4020
589	5771	4010
590	5780	4000
591	5790	3990
592	5799	3980
593	5809	3970
594	5818	3960
595	5828	3950
596	5837	3940
597	5846	3930
598	5855	3920
599	5865	3910
600	5874	3899
601	5883	3890
602	5893	3879
603	5902	3869
604	5912	3860
605	5922	3850
606	5931	3840
607	5940	3830
608	5950	3820
609	5960	3810
610	5969	3800
611	5978	3790
612	5988	3780
613	5997	3770
614	6007	3760
615	6016	3750
616	6026	3740
617	6035	3730
618	6045	3720
619	6054	3710
620	6064	3701
621	6073	3690
622	6082	3680
623	6092	3671
624	6100	3660
625	6109	3650
626	6118	3640
627	6127	3629
628	6136	3619
629	6145	3609
630	6155	3599
631	6165	3589
632	6174	3579
633	6182	3569
634	6191	3558
635	6200	3548
636	6208	3538
637	6217	3527
638	6226	3517
639	6235	3507
640	6243	3496
641	6252	3486
642	6261	3476
643	6269	3465
644	6278	3455
645	6287	3445
646	6295	3435
647	6304	3424
648	6313	3414
649	6322	3404
650	6331	3394
651	6339	3383
652	6348	3373
653	6357	3363
654	6366	3353
655	6374	3342
656	6384	3332
657	6397	3325
658	6406	3315
659	6416	3305
660	6425	3295
661	6434	3285
662	6443	3275
663	6453	3265
664	6462	3255
665	6471	3245
666	6480	3235
667	6488	3225
668	6497	3214
669	6506	3204
670	6515	3194
671	6524	3184
672	6534	3174
673	6542	3164
674	6551	3154
675	6560	3144
676	6568	3133
677	6576	3123
678	6586	3113
679	6595	3103
680	6603	3093
681	6612	3083
682	6621	3073
683	6630	3063
684	6639	3053
685	6647	3042
686	6656	3032
687	6665	3022
688	6674	3012
689	6684	3002
690	6694	2993
691	6710	2986
692	6728	2980
693	6758	2980
694	6771	2971
695	6784	2963
696	6840	2973
697	6850	2964
698	6861	2954
699	6873	2945
700	6883	2936
701	6894	2926
702	6905	2917
703	6915	2907
704	6926	2898
705	6937	2888
706	6948	2879
707	6958	2869
708	6968	2860
709	6980	2851
710	6990	2841
711	7001	2832
712	7012	2822
713	7023	2813
714	7034	2804
715	7047	2795
716	7058	2785
717	7069	2776
718	7078	2766
719	7088	2756
720	7097	2746
721	7107	2736
722	7117	2726
723	7127	2717
724	7136	2707
725	7146	2697
726	7155	2687
727	7165	2677
728	7174	2667
729	7184	2657
730	7245	2666
731	7254	2656
732	7263	2645
733	7273	2635
734	7282	2625
735	7293	2616
736	7303	2606
737	7312	2596
738	7321	2585
739	7331	2575
740	7340	2565
741	7350	2555
742	7359	2545
743	7369	2535
744	7378	2525
745	7389	2515
746	7399	2506
